Hole_ID,Depth,description
BH1,0,"loose, gray to yellowish fine sand"
BH1,7.4,"very soft, dark gray clay, occasional humus"
BH1,18.7,"loose, gray coarse sand"
BH1,19.5,"firm, gray to yellowish clay locally laminated, sand"
BH1,25,"soft, dark gray clay, occasional humus"
BH1,25.7,"firm, gray to yellowish clay locally laminated, sand"
BH1,28.9,"soft to firm, gray clay"
BH1,32.4,"medium dense, gray to yellowish coarse sand"
BH1,34,"firm, gray clay"
BH1,36.5,"weak, grayish yellow, pinkish red, grayish white, completely decomposed granite"
BH1,37.6,"strong, grayish yellow, pinkish red, grayish white, moderately decomposed granite"
BH1,38.2,"weak, grayish yellow, pinkish red, grayish white, completely decomposed granite"
BH1,42,"weak, grayish yellow, pinkish red, grayish white, highly decomposed granite"
BH1,48.32,"strong to very strong, grayish yellow pinkish red, grayish white, moderately decomposed granite"
BH2,0,"loose, gray to yellowish fine sand"
BH2,9.5,"loose, gray coarse sand, very soft clay"
BH2,13.5,"very soft, dark gray clay, occasionally, humus, fine sand, shells"
BH2,16.8,"firm to stiff, gray to yellowish clay locally laminated, sand"
BH2,20.5,"very soft, dark gray clay, occasionally, organic materials"
BH2,23.2,"strong, grayish yellow, pinkish red, grayish white, moderately decomposed granite"
BH2,24.57,"stiff to very stiff, grayish yellow residual soil"
BH2,28.72,"strong to very strong, grayish yellow, pinkish red, grayish white, moderately decomposed granite"
BH3,0,"loose, gray to yellowish fine sand, cobbles"
BH3,9.5,"loose, grayish yellow coarse sand, shell fragments"
BH3,15.4,"soft, dark gray clay, occasionally, humus, sand"
BH3,18,"stiff, grayish yellow clay, locally laminated, sand"
BH3,21,"very soft, dark gray clay, occasionally, humus"
BH3,25,"stiff to very stiff, grayish yellow sandy clay"
BH3,28.5,"weak, grayish yellow, pinkish red, grayish white, completely decomposed granite"
BH3,36.37,"strong, grayish yellow, pinkish red, grayish white, highly decomposed granite"
BH3,44.7,"strong to very strong, grayish yellow, pinkish red, grayish white, moderately decomposed granite"
BH4,0,"cobbles, concrete, construction waste"
BH4,9.5,"loose, gray to yellowish gray fine sand"
BH4,11.5,"soft to firm, dark gray clay, organic materials, shell fragments"
BH4,15,"loose, gray to yellowish gray medium sand"
BH4,17,"soft, dark gray clay, occasionally, organic materials, fine sand"
BH4,17.7,"stiff to very stiff, grayish yellow residual soil"
BH4,20.66,"moderately strong to strong, grayish yellow, yellowish pink, moderately decomposed medium to coarse grained granite"
BH5,0,"boulders involved, sand, granite"
BH5,7.8,"loose, gray fine sand, shell fragments, occasionally, very soft clay"
BH5,10.2,"very soft, dark gray clay, occasionally, organic materials, shell fragments"
BH5,13.5,"loose to medium dense, gray to yellowish gray coarse sand"
BH5,17.6,"firm, gray to yellowish gray clay occasionally, sand"
BH5,20.5,"medium dense, gray to yellowish gray coarse clayey sand"
BH5,21.5,"firm, gray to yellowish gray coarse sandy clay"
BH5,24.2,"firm, gray clay occasionally, fine sand, organic materials"
BH5,26.5,"loose, gray to yellowish gray coarse clayey sand"
BH5,27.6,"medium dense, gray to yellowish gray coarse sand"
BH5,31,"firm, gray to yellowish gray coarse sandy clay"
BH5,32.5,"stiff to very stiff, grayish yellow residual soil"
BH5,36.5,"extremely weak, grayish yellow pinkish red, grayish white, completely decomposed granite"
BH5,38.5,"extremely weak, grayish yellow pinkish red, grayish white, highly decomposed granite"
BH5,42.7,"medium strong, grayish yellow pinkish red, grayish white, moderately decomposed granite"
BH6,0,"loose, gray to yellowish fine sand"
BH6,7.5,"very soft, dark gray clay, occasionally, shell fragments, organic materials"
BH6,16,"loose, gray coarse sand, around 15% very soft clay"
BH6,18.3,"soft to stiff, gray clay locally laminated, sand"
BH6,20.6,"very soft, dark gray clay, occasionally, organic materials"
BH6,29,"firm to stiff, gray clay"
BH6,35,"weak, grayish yellow pinkish red, grayish white, completely decomposed granite"
BH6,37,"weak, grayish yellow pinkish red, grayish white, highly decomposed granite"
BH6,40.3,"strong, grayish yellow pinkish red, grayish white, moderately decomposed granite"
BH6,42.14,"weak, grayish yellow pinkish red, grayish white, highly decomposed granite"
BH6,43.54,"strong to very strong, grayish yellow pinkish red, grayish white, moderately decomposed granite"
BH7,0,"loose, occasionally coarse dense, brown medium backfill sand"
BH7,2.8,"very soft, dark gray clay, occasionally, organic materials, shell fragments"
BH7,15.6,"firm, gray clay, locally laminated, sand"
BH7,22.5,"loose, gray coarse sand"
BH7,26.5,"soft, gray clay locally laminated, sand"
BH7,29.8,"firm to stiff, gray clay, sand"
BH7,32,"stiff to very stiff, grayish yellow residual soil"
BH7,36,"weak, grayish yellow pinkish red, grayish white, completely decomposed granite"
BH7,42,"weak, grayish yellow pinkish red, grayish white, highly decomposed granite"
BH7,56.55,"strong to very strong, grayish yellow pinkish red, grayish white, moderately decomposed granite"
BH8,0,"loose, gray to yellowish fine sand"
BH8,7.6,"very soft, dark gray clay, occasional humus"
BH8,8.5,"loose, gray coarse sand"
BH8,12.9,"weak, grayish yellow pinkish red, grayish white, completely decomposed granite"
BH8,18,"weak, grayish yellow pinkish red, grayish white, highly decomposed granite"
BH8,31.98,"strong to very strong, grayish yellow pinkish red, grayish white, moderately decomposed granite"
BH9,0,"loose, gray to yellowish fine sand"
BH9,5.8,"very soft, dark gray clay, occasional humus"
BH9,8.6,"loose, gray coarse sand, very soft clay"
BH9,12.5,"very soft, dark gray clay, occasional humus"
BH9,16.5,"loose, gray coarse sand occasionally, clay"
BH9,20.5,"stiff to very stiff, grayish yellow residual soil"
BH9,25,"weak, grayish yellow pinkish red, grayish white, completely decomposed granite"
BH9,29,"weak, grayish yellow pinkish red, grayish white, highly decomposed granite"
BH9,35.05,"strong to very strong, grayish yellow pinkish red, grayish white, moderately decomposed granite"
BH10,0,"medium dense, grayish yellow, coarse sand, locally, some gravel"
BH10,7.2,"loose to medium dense, grayish yellow, fine sand"
BH10,9.8,"very soft, gray, mud, shell fragments, coarse sand"
