X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9
2.25,0.38,48.22,53.3,55.23,56.99,38.62,37.07,35.12,30.39,39.16
3.75,0.38,37.21,44.22,43.97,43.42,42.28,42.21,40.22,41.88,51.83
5.25,0.38,15.94,17.29,18.52,16.17,10.03,10.62,11.16,12.11,13.22
6.75,0.38,13.27,12.04,13.46,15.69,6.09,7.33,9.65,7.91,9.17
8.25,0.38,19.64,17.92,19.24,25.73,16.49,17.43,24.22,16.32,15.37
9.75,0.38,41.08,40.85,45.79,30.94,41.34,25.11,35.92,26.77,37.96
11.25,0.38,222.6,259.23,259.56,92.96,201.63,75.69,77.95,67.55,146.22
12.75,0.38,222.55,251.78,217.54,180.11,134.14,94.23,75.87,77.82,117.55
14.25,0.38,118.95,125.03,109.83,248.44,66.3,115.88,97.18,107.01,82.24
15.75,0.38,125.87,122.36,132.43,108.45,111.7,79.41,100.8,112.09,99.98
17.25,0.38,447.64,365.93,583.37,240.26,184.47,127.14,390.88,372.59,243.11
18.75,0.38,490.96,391.73,559.13,429.92,402.05,278.31,610.71,442.09,333.72
20.25,0.38,586.53,572.84,438.27,766.31,594.3,442.19,841.93,707.31,484.47
21.75,0.38,1470.2,1630.6,1066.2,1386.6,909.41,1162,700.18,1019,790.1
23.25,0.38,698.46,702.49,583.01,446.05,512.88,638.1,265.05,368.02,367.67
24.75,0.38,498.94,474.73,804.85,430.05,314.63,291.85,215.49,396.51,255.59
26.25,0.38,577.7,434.44,1290.7,404.49,231.85,201.59,148.93,219.07,179.25
27.75,0.38,602.29,470.61,785.12,487.72,279.7,219.78,197.92,370.63,243.23
29.25,0.38,565.88,581.51,659.53,776.5,876.12,404.06,471.17,757.48,672.04
30.75,0.38,1219.9,1529.6,1245.6,1522.9,1904.9,1134.2,1496,2029.6,1908
32.25,0.38,576.39,464.01,383.42,381.63,372.88,418.94,460.19,385.3,275.48
33.75,0.38,644.63,549.07,506.29,408.87,318.68,456.1,367.82,311.23,253.8
35.25,0.38,499.16,544.06,498.68,539.31,410.4,562.26,425.6,385.99,335.86
36.75,0.38,1254.1,1964,1330.6,1730.5,1347.1,2398.9,1347.9,1152.6,1092.1
38.25,0.38,424.05,487.19,364.75,333.91,351.96,424.33,316.25,283.34,318.14
39.75,0.38,785.06,886.21,1089.8,914.32,715.21,604.88,622.03,599.49,702.3
41.25,0.38,869.16,811.12,987.01,751.66,578.37,490.33,497.42,535.9,550.41
42.75,0.38,576.64,472.38,506.06,499.62,448.73,374.32,390.64,422.98,358.71
44.25,0.38,277.72,255.59,263.93,308.67,292.97,267.24,263.42,297.04,267.3
45.75,0.38,136.85,116.52,143.68,145.25,161.03,154.54,147.21,159.44,153.27
47.25,0.38,411.65,298.08,454.22,410.63,421.98,427.03,401.68,385.68,447.67
48.75,0.38,723.98,815.59,748.38,714.68,592.79,555.08,572.78,544.49,628.5
50.25,0.38,247.99,301.3,237.26,199.7,183.34,162.21,178.88,152.88,168.96
51.75,0.38,155.38,171.6,154.16,138.48,131.39,123.22,137.69,120.58,121.52
53.25,0.38,121.16,129.45,126.49,116.93,113.58,107.76,123.22,106.68,106.26
54.75,0.38,123.88,125.25,129.85,119.57,126.1,106.55,128.57,103.57,114.74
