X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11
2.25,0.38,39.65,37.05,33.52,36.1,27.88,37.72,33.81,39.24,17.46,38.49,41.56
3.75,0.38,64.98,60.02,65.17,68.42,65.18,61.79,59.47,59.66,55.29,61.89,71.72
5.25,0.38,18.99,22.97,24.26,20.67,31.79,18.5,21.56,17.06,45.08,17.09,21.32
6.75,0.38,16.66,21.72,20.89,16.02,28,12.64,18.06,12.21,26,13.34,15.33
8.25,0.38,21.2,25.79,27.18,21.74,31.76,18.52,22.11,19.07,24.94,19.3,20.34
9.75,0.38,66.75,82.61,71.48,100.75,73.9,75.95,81.17,61.63,77.85,66.04,85.1
11.25,0.38,202.95,193.65,201.62,249.63,192.83,213.68,210.07,175.15,194.44,182.37,191.72
12.75,0.38,156.69,107.08,160.46,117.51,147.25,104.58,115.13,130.32,131.01,130.18,98
14.25,0.38,68.44,66.2,71.92,58.97,81.29,62.9,52.48,61.67,77.72,64.96,62.2
15.75,0.38,120.17,154.76,87.91,104.03,99.72,90.11,93.97,77.99,87.44,77.3,123.5
17.25,0.38,382.5,923.75,326.32,509.01,347.66,333.42,339.28,382.31,403.07,332.39,711.04
18.75,0.38,416.75,662.61,606.72,640.74,403.72,451.72,447.29,895.27,485.37,674.37,549.68
20.25,0.38,648.38,503.17,700.15,643.23,420.98,623.31,537.47,593.19,336.4,530.49,479.69
21.75,0.38,932.05,658.74,888.34,866.84,930.9,997.25,787.18,736.81,1091.4,761.39,724.09
23.25,0.38,438.51,367.23,398.95,354.98,590.12,407.49,379.26,319.31,624.18,337.84,307.51
24.75,0.38,279.33,280.51,170.17,194.32,290.55,211.83,239.81,220.39,409.93,185.99,252.43
26.25,0.38,243.55,315.42,224.87,226.25,352.88,245.88,244.2,247.85,351.09,180.87,256.92
27.75,0.38,308.11,275.3,374.07,375.08,641.69,390.4,349.08,431.95,561.38,279.68,376.09
29.25,0.38,521.65,513.29,582.1,1070.2,864.23,1178.1,927.33,1068.6,666.89,520.03,1019.1
30.75,0.38,1453,1658.3,1299.5,2537.9,1026.7,2483.4,1885,2076.4,1435.2,1371.9,1809.6
32.25,0.38,436.71,473.9,401.91,340.97,204.74,319.18,319.21,323.41,325.09,336.74,282.21
33.75,0.38,382.34,379.35,381,307.63,485.54,296.41,325.35,321.97,352.54,430.83,276.28
35.25,0.38,391.48,392.01,371.49,348.88,467.63,331.39,383.24,360.03,437.8,539.7,307.42
36.75,0.38,998.81,1031.3,989.97,1003.5,1216.7,947.42,1199.8,987.83,1154,1394.5,935.86
38.25,0.38,251.41,275.75,315.85,300.63,345.47,296.53,356.8,287.98,253.11,276.09,295.55
39.75,0.38,829.71,710.07,595.25,674.2,755.77,667.77,717.54,634.07,578.21,528.79,678.56
41.25,0.38,747.66,659.6,663.72,583.96,688.23,577.07,464.2,542.64,535,472.83,571.75
42.75,0.38,423.45,512.98,445.34,423.7,346.22,418.82,351.92,402.19,375.22,364.65,404.09
44.25,0.38,276.23,286.97,262.03,277.75,248.22,276.15,289.06,286.39,273.39,267.57,277.05
45.75,0.38,150.29,158.63,141.92,155.14,131.61,154.46,154.81,159.06,150.39,160.41,153.41
47.25,0.38,426.23,461.13,449.12,439.28,365.49,420.84,385.67,423.81,372.43,430.71,420.78
48.75,0.38,652.95,633.86,776.65,668.86,653.98,640.54,594.5,619.26,523.35,555.6,571.25
50.25,0.38,159.96,166.69,209.05,190.73,205.37,186.22,172.23,188.7,158.4,162.65,169.75
51.75,0.38,110.72,117.41,127.95,128.31,137.77,126.1,116.62,126.06,131.58,122.76,118.96
53.25,0.38,95.85,103.03,106.84,109.5,114.57,107.85,98.87,105.4,118.3,110.85,103.32
54.75,0.38,102.01,108.36,109.06,119.59,122.58,117.85,110.81,115.11,114.51,115.94,117.52
56.25,0.38,159.46,169.73,169.12,202.11,207.31,200.82,195.34,198.6,172.89,177.11,201.77
57.75,0.38,168.85,173.06,175.66,199.73,205.57,200.73,202.26,205.54,186.07,181.6,201.51
59.25,0.38,144.81,147.42,145.95,148.55,151.45,149.11,150.93,152.19,149.87,145.08,150.17
60.75,0.38,87.74,89.09,86.73,86.34,87.16,86.91,87.99,87.27,90,86.22,86
62.25,0.38,250.47,240.13,238.69,225.41,239.48,229.99,227.71,224.71,261.61,243.49,225.68
63.75,0.38,2187.8,2351.5,2019.9,1295.1,1505.1,1302.2,1220.3,1293.4,2428.1,2209.7,1494.4
65.25,0.38,143.63,139.07,143,144.2,142.22,143.02,140.27,142.1,148.64,152.13,142.24
66.75,0.38,42.72,40.96,44.72,54.04,49.57,52.5,52.26,54.39,41.25,42.43,52.89
68.25,0.38,30.66,30.66,31.58,32.48,31.96,31.99,29.69,31.83,30.36,29.74,33.9
69.75,0.38,92.66,93.87,91.44,78.84,85.95,79.36,73.03,77.2,91.17,88.03,85.54
71.25,0.38,70.84,71.14,68.81,58.64,64.26,58.96,55.73,58.23,68.2,67.67,62.21
72.75,0.38,106.48,109.76,103.33,85.43,91.34,85.77,80.87,84.68,98.42,104.02,89.78
74.25,0.38,108.55,105.51,101.61,87.44,90.47,87.84,86.55,87.34,95.2,101.59,90.03
75.75,0.38,162.57,143.95,148,143.56,147.14,145.24,152.03,146.07,139.93,153.15,144.8
77.25,0.38,197.93,177.47,190.44,213.84,211.58,213.14,228.75,215.58,193.2,200.62,208.42
78.75,0.38,183.61,171.67,185.2,218.31,216.82,218.1,234.76,220.63,196.16,194.2,213.04
80.25,0.38,159.76,160.27,167.82,186.42,185.54,185.93,195.53,186.94,175.86,168.6,182.15
81.75,0.38,89.95,91.7,93.65,98.34,98.68,98.78,102.66,99.85,98.27,93.93,97.9
83.25,0.38,73.75,74.64,75.76,78.39,79.31,79.02,81.73,79.59,78.94,76.1,78
84.75,0.38,146.34,148.92,150.26,153.33,154.73,152.66,154.86,153.47,153.28,150.69,152.73
86.25,0.38,147.27,149.5,151.74,154.35,156.41,153.2,152.62,150.38,151.12,148.99,148.12
87.75,0.38,194.84,196.03,200.34,209.89,210.94,206.01,203.45,201.19,199.46,194.72,198.81
89.25,0.38,317.63,317.39,326.18,337.64,335.1,328.58,328.21,323.08,314,304.97,313.89
90.75,0.38,506.06,517.89,515.12,498.26,488.34,484.08,490.2,491.2,475.91,483.72,478.21
92.25,0.38,762.28,782.09,791.63,770.57,755.97,746.48,748.21,750.5,700.36,733.33,714.66
93.75,0.38,391.94,404.07,403.92,401.66,395.57,391.9,390.28,394.35,356.5,379.27,374.91
95.25,0.38,451.96,465.81,466.69,464.99,459.65,453.46,451.86,455.22,420.13,443.2,439.99
96.75,0.38,1682.1,1726.7,1712.1,1695.2,1664.2,1640,1640.9,1639.8,1520.8,1613.3,1621.2
98.25,0.38,994.53,1010.3,998.77,989.25,980.24,977.57,976.36,985.71,938.16,942,946.62
99.75,0.38,902.4,901.22,892.77,860.34,851.28,854.12,855.18,854.12,841.74,820.02,821.67
101.25,0.38,806.44,805.72,806.4,784.59,779.19,777.55,772.95,775.59,762.16,741.33,734.51
102.75,0.38,371.57,368.71,370.77,361.49,358.53,357.2,354.29,353.96,349.22,343.3,340.26
104.25,0.38,254.97,254.38,257.79,255.6,252.36,252.45,245.97,249.67,238.91,240.35,241.61
105.75,0.38,199.01,201.39,203.59,198.92,194.74,193.5,185.68,190.8,187.91,189.67,186.96
107.25,0.38,144.12,150.2,148.73,166.41,164.06,161.23,154.62,160.15,142.5,137.89,156.54
108.75,0.38,102.1,108.33,104.05,122.14,122.42,120.55,117.03,120.27,96.29,97.96,116.95
110.25,0.38,68.47,71.59,71.92,68.17,68.28,67.48,65.83,66.68,65.6,70.53,66.14
111.75,0.38,55.81,56.45,58.34,56.47,56.99,56.39,56.45,55.88,56.27,58.91,55.84
113.25,0.38,284.94,284.84,297.4,315.99,324.87,323.96,331.03,323.5,314.67,309.48,321
114.75,0.38,994.55,1022,1034,1091.4,1086.2,1090.2,1049.6,1062.3,1018.2,984.98,1059.6
116.25,0.38,446.34,439.76,436.04,446.03,437.42,438.03,432.08,432.03,418.94,415.32,430.28
117.75,0.38,305.24,304.49,304.22,303.39,301.36,300.93,296.94,298.05,295.1,294.74,294.11
119.25,0.38,221.9,223.39,226.49,226.38,227.38,224.72,221.71,221.58,210.19,212.46,216.52
120.75,0.38,77.88,79.34,81,81,80.94,79.98,79.36,79.27,76.68,77.62,78.39
122.25,0.38,210.42,215.12,219.49,212.66,212.49,211.13,210.2,208.3,203.93,210.43,205.57
123.75,0.38,86.25,87.27,87.77,86.15,85.9,85.19,85.35,85.12,84.61,86.28,84.68
125.25,0.38,51.44,51.27,51.42,52.64,52.42,52.5,52.68,52.17,51.74,51.46,52.18
126.75,0.38,123.2,124.76,124.3,125.42,123.49,123.24,121.82,121.9,122.19,123.6,122.24
128.25,0.38,403.92,411.07,392.49,358.68,353.46,362.09,361.56,370.74,375.85,389.99,374.28
129.75,0.38,199.89,203.09,198.79,188.11,184.58,183.65,181.82,185.21,186.42,191.63,185.04
131.25,0.38,189.27,195.04,180.59,165.53,161.28,163.63,163.3,169.86,163.19,169.95,165.82
