X,Depth,R1,R2,R3,R4,R5,R6,R7
2.25,0.38,34.92,33.42,38.47,30,35.53,37,39.65
3.75,0.38,59.59,50.41,51.12,62.83,59.51,67.26,64.98
5.25,0.38,19.4,19.66,15.27,29.1,23.89,26.58,18.99
6.75,0.38,19.39,16.53,12.67,27.1,24.95,23.08,16.66
8.25,0.38,37.86,20.21,18.57,28.58,27.17,25.05,21.2
9.75,0.38,39.72,80.27,64.03,72.38,107.16,96.28,66.75
11.25,0.38,81.36,321.6,277.65,239.41,254.86,266.12,202.95
12.75,0.38,112.42,158.03,174.9,178.67,107.09,137.61,156.69
14.25,0.38,113.1,55.81,62.84,75.42,58.59,64.45,68.44
15.75,0.38,77.66,85.89,81.87,95.99,98.31,86.59,120.17
17.25,0.38,134.74,364.37,335.06,242.39,736.03,302.9,382.5
18.75,0.38,335.55,844.14,545.84,345.18,1132.4,422.48,416.75
20.25,0.38,683.46,571.55,669.56,671.83,324.13,593.64,648.38
21.75,0.38,1167.9,593.67,988.8,1046,609.12,1368.2,932.05
23.25,0.38,414.24,283.37,383.95,387.63,344.84,604.62,438.51
24.75,0.38,265.21,135.23,274.36,244.66,201.03,367.37,279.33
26.25,0.38,197.46,167.58,262.86,245,330.52,246.9,243.55
27.75,0.38,279.74,236.41,317.14,287.18,382.38,282.48,308.11
29.25,0.38,661.13,365.98,578.55,477.16,563.68,465.13,521.65
30.75,0.38,1728,1074.5,1419.9,1079.9,1075.9,1210.8,1453
32.25,0.38,308.3,378.55,319.13,381.72,310.23,406.57,436.71
33.75,0.38,314.35,371.17,380.28,370.35,409.5,396.3,382.34
35.25,0.38,366.67,417.15,426.39,387.95,419.33,427.41,391.48
36.75,0.38,964.84,1528.6,1084.7,1088.2,1030.2,965.35,998.81
38.25,0.38,252.46,343.46,285.06,301.53,282.85,238.16,251.41
39.75,0.38,680.42,564.52,609.54,662.4,623.64,619.75,829.71
41.25,0.38,563.71,532.05,556.66,651.74,570.34,682.15,747.66
42.75,0.38,368.99,372.4,393.21,400.97,409.12,466.34,423.45
44.25,0.38,254.61,249.28,261.44,251.17,256.42,271.07,276.23
45.75,0.38,149.8,113.74,148.76,120.31,152.52,154.71,150.29
47.25,0.38,403.38,326.93,393.17,353.2,420.48,414.41,426.23
48.75,0.38,574.71,587.72,580.38,591.37,572.29,557.74,652.95
50.25,0.38,151.01,159.76,162.47,155.82,166.5,155.98,159.96
51.75,0.38,109.9,112.53,121.3,109.76,123.06,121.27,110.72
53.25,0.38,97.12,98.66,108.81,96.15,109,111.02,95.85
54.75,0.38,100.63,106.07,113.96,102.79,114.89,115.61,102.01
56.25,0.38,154.06,169.19,178.49,161.79,180.45,177.6,159.46
57.75,0.38,160.44,177.88,181.71,171.66,185.59,180.02,168.85
59.25,0.38,144.89,149.83,147.05,148.29,148.25,146,144.81
60.75,0.38,88.66,86.22,88.08,87.39,86.22,85.79,87.74
62.25,0.38,253.79,228.74,255.74,241.22,230.13,234.86,250.47
63.75,0.38,2158.8,1909.3,2215.6,1964.7,2056.5,1926,2187.8
65.25,0.38,147.86,135.06,143.01,141.58,140.72,141.63,143.63
66.75,0.38,39.93,39.89,40.57,41.15,42.52,45.1,42.72
68.25,0.38,28.59,29.72,31.08,29.64,31.51,32.78,30.66
69.75,0.38,85.37,91.35,95.31,89.89,95.48,95.48,92.66
71.25,0.38,62.61,70.56,72.01,69.05,72.89,71.58,70.84
72.75,0.38,91.03,108.25,105.3,104.64,109.94,105.87,106.48
74.25,0.38,97.15,106.47,100.75,105.39,103.54,102.4,108.55
75.75,0.38,164.49,157.24,150.51,159.76,146.66,149.13,162.57
77.25,0.38,211.93,194.12,198.57,197.13,188.89,194.12,197.93
78.75,0.38,200.48,185.03,193.21,187.28,183.54,188.29,183.61
80.25,0.38,161.56,158.14,165.2,160.59,161.64,165.67,159.76
81.75,0.38,89.57,90.75,92.94,91.89,92.36,93.2,89.95
83.25,0.38,73.94,75.08,75.56,75.58,75.06,75.8,73.75
84.75,0.38,152.21,148.5,149.17,150.09,148.5,150.96,146.34
86.25,0.38,153.77,148.61,148.33,149.14,147.59,150.48,147.27
87.75,0.38,199.44,191.97,193.07,193.03,192.02,196.15,194.84
89.25,0.38,308.54,304.1,304.52,306.02,304.49,313.61,317.63
90.75,0.38,462.36,469.07,468.58,474.1,483.6,494.23,506.06
92.25,0.38,687.72,705.18,712.19,717.7,740.43,751.16,762.28
93.75,0.38,358.43,370.73,373.71,374.11,386.37,390.38,391.94
95.25,0.38,418.58,432.07,434.94,437.08,446.73,452.47,451.96
96.75,0.38,1558.2,1577,1586.6,1606,1630.6,1648.4,1682.1
98.25,0.38,958.05,929.53,941.9,953.16,959.38,971.26,994.53
99.75,0.38,848.54,810.83,820.59,838.61,838.97,867.99,902.4
101.25,0.38,753.88,726,733.58,747.66,750.06,779.74,806.44
102.75,0.38,349.72,342.27,343.73,349.76,350.08,363.46,371.57
104.25,0.38,240.64,233.3,238.84,239.75,244.34,254.52,254.97
105.75,0.38,187.61,182.14,189.18,186.1,193.38,199.97,199.01
107.25,0.38,142.12,132.59,142.02,135.51,144.28,148.23,144.12
108.75,0.38,104.65,97.23,103.52,99.36,104.04,107.95,102.1
110.25,0.38,66.9,71,73.06,70.85,72.62,72.69,68.47
111.75,0.38,53.85,58,58.58,57.66,57.99,57.84,55.81
113.25,0.38,280.36,307.75,308.8,302.61,303,299.37,284.94
114.75,0.38,965.09,963.08,982.75,954.18,986.34,1026.5,994.55
116.25,0.38,429.01,422.05,418.98,425.5,425.57,431.11,446.34
117.75,0.38,306.73,295.9,298.87,297.93,301.2,301.6,305.24
119.25,0.38,219.85,212.75,218.4,216.1,219.98,222.88,221.9
