X,Depth,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119
2.25,0.38,26.08,38.09,39.71,39.03,36.81,33.59,32.63,33.21,28.47,42.55
3.75,0.38,54.71,70.56,65.61,68.59,71.52,64.26,65.27,64.64,64.58,81.59
5.25,0.38,14.76,13.62,13.23,14.03,16.15,16.12,16.08,15.93,16.86,18.21
6.75,0.38,14.37,12.99,13.7,13.06,15.11,15.63,14.64,15.82,15.05,18.64
8.25,0.38,21.46,15.74,17.26,18.47,19.41,19.99,21.61,21.53,21.11,22.78
9.75,0.38,48.86,61.44,75.9,76.71,67.31,72.43,90.57,78.13,79.86,90.41
11.25,0.38,127.59,106.88,123.65,120.06,111.57,126.81,142.68,124.04,123.08,123.03
12.75,0.38,145.48,75.86,82.24,67.45,79.19,80.46,82.66,81.13,77.07,67.81
14.25,0.38,91.67,71.58,69.14,71.41,67.51,77.02,63.1,64.72,62.11,69.5
15.75,0.38,103.2,99.74,89.85,102.91,107.84,97.15,91.17,83.83,83.27,80.64
17.25,0.38,182.15,298.93,319.58,416.64,513.05,384.65,474.06,232.12,367.49,473.07
18.75,0.38,225,338.81,369.4,413.96,438.66,313.77,473.1,271.27,438.46,399.23
20.25,0.38,562.35,357.77,467.02,382.39,406.93,353.13,489.79,481.6,427.8,314.31
21.75,0.38,1112.6,813.7,737.19,693.35,748.05,767.43,851.62,807.22,682.48,714.73
23.25,0.38,556.03,511.8,384.8,446.76,452.43,425.73,409.27,377.5,377.61,475.35
24.75,0.38,251.01,300.16,184.72,311.16,315.67,244.42,258.31,226.39,223.77,270.73
26.25,0.38,310.57,439.95,240.25,455.58,462.11,314.45,272.81,175.52,297.14,233.65
27.75,0.38,312.37,458.43,381.29,477.33,459.83,481.82,414.45,312.15,521.01,330.22
29.25,0.38,382.1,458.53,483.29,441.62,478.51,537.92,602.21,500.67,797.2,853.84
30.75,0.38,1342.6,1706.3,1574.5,1669.9,1966.6,1534.6,2163.8,1593.7,1655.3,2809
32.25,0.38,501.17,587.63,525.7,616.1,607.9,475.13,516.6,454.88,486.53,524.21
33.75,0.38,522.88,487.72,472.8,504.77,460.93,462.72,436.49,408.39,436.16,425.18
35.25,0.38,542.42,453.05,471.07,458.68,451.42,457.97,419.94,475.96,411.44,642.01
36.75,0.38,908.16,925.88,1059.4,937.3,1046.6,1147.9,1025.1,1289.6,1077.8,1399.4
38.25,0.38,235.82,257.53,265.27,253,271.02,283.64,267.01,322.79,276.18,306.13
39.75,0.38,687.53,702.79,755.37,730.55,732.03,855.32,737.23,888.15,735.93,762.45
41.25,0.38,796.27,787.23,747.99,832.58,794,807.77,811.78,671.64,785.66,628.76
42.75,0.38,523.94,487.89,405.34,467.31,453.57,404.28,447.31,368.67,408.7,373.26
44.25,0.38,274.97,248.41,233.74,244.62,240.64,233.02,239.78,236.59,234.39,231.35
45.75,0.38,149.13,149.58,158.69,155.18,152.61,149.74,155.43,143.81,163.12,154.82
47.25,0.38,346.75,406.09,500.05,459.75,461.24,456.3,449.27,528.78,520.86,508.91
48.75,0.38,485.75,580.5,628.54,575.03,612.41,720.72,613.64,777.74,705.59,812.71
50.25,0.38,147.06,153.27,157.25,143.83,152.36,173.8,170.3,182.06,177.12,206.35
51.75,0.38,111.75,116.51,113.61,101.82,109.91,118.03,119.69,117.34,116.28,133.22
53.25,0.38,100.29,106.41,102.35,89.82,98.6,102.94,107.66,100.28,102.61,114.01
54.75,0.38,113.7,107.8,106.27,96.59,103.04,104.56,111.89,102.79,106.04,110.79
56.25,0.38,207.92,169.15,169.82,166.86,165.1,161.96,171.62,160.63,165,164.53
57.75,0.38,207.94,177.82,174.67,178.65,173.65,169.16,175.96,172.8,170.35,173.29
59.25,0.38,138.84,141.89,139.49,139.76,137.52,140.15,138.59,139.98,137.64,135.02
60.75,0.38,77.91,82.6,82.85,86.27,83.26,83.91,83.7,82.83,84.23,80.69
62.25,0.38,144.29,216.92,212.24,215.21,222.94,215.45,213.41,220.81,229.68,214.89
63.75,0.38,437,1679.3,1573.5,1175.7,1631.6,1581.5,1469.3,1515.5,1735.1,1649.1
65.25,0.38,130.57,139.03,134.84,134.06,137.71,140.02,133.84,146.26,140.9,149.23
66.75,0.38,85.36,47.68,43.35,54.97,46.2,45.14,48.73,47.75,45.94,50.22
68.25,0.38,46.62,30.83,28.87,31.13,30.29,28.6,31.61,27.96,30.1,30.8
69.75,0.38,79.53,85.93,83.93,74.93,84.3,81.52,88.25,77.23,85.18,84.17
71.25,0.38,52.22,64.43,63.65,57.51,63.53,62.81,66.43,57.04,63.87,62.03
72.75,0.38,69.81,98.43,97.23,80.68,96.65,98.84,100.09,84.47,95.3,92.52
74.25,0.38,74.44,100.15,99.87,84.96,99.08,102.26,100.52,93.46,97.97,95.18
75.75,0.38,122.43,150.06,152.83,146.27,151.93,154.64,152.85,155.23,152.8,146.98
77.25,0.38,193.78,188.46,191.42,215.42,191.19,188.26,193.13,203.27,193.41,192.22
78.75,0.38,207.5,186.63,185.43,219.76,186.79,182.43,186.71,192.82,186.22,191.07
80.25,0.38,188.09,166.67,163.67,183.59,166.09,164.13,164.3,165.26,164.51,172.2
81.75,0.38,101.09,90.87,89.49,94.55,90.54,90.47,90.19,90.55,90.42,92.93
83.25,0.38,79.35,72.58,72.18,74.32,72.05,72.55,71.64,73.46,72.08,73.35
84.75,0.38,154.44,149.72,149.94,151.29,149.03,149.15,147.65,150.22,149,153.06
86.25,0.38,152.88,148.62,147.82,146.82,148.45,146.53,148.91,146.54,147.84,148.9
87.75,0.38,204.72,192.66,190.95,194.59,192.55,187.32,192.39,188.55,190.63,190.59
89.25,0.38,338.57,314.26,312.52,314.43,313.34,306.71,312.43,315.3,311.39,314.74
90.75,0.38,531.69,510.68,514.41,494.39,509.3,517.8,510.21,521.17,511.53,528.39
92.25,0.38,722,723.88,734.43,710.61,735.52,755.96,743.27,753.65,750.17,774.38
93.75,0.38,376.5,386.83,392.86,387.34,393.53,403.39,396.17,395.68,396.49,411.08
95.25,0.38,435.05,451.31,456.41,451.92,455.31,464.68,459,459.71,460.07,471.93
96.75,0.38,1521.4,1628.6,1655.8,1654.2,1650.1,1677.5,1667.6,1685.9,1678,1710.9
98.25,0.38,885.51,957.69,972.91,969.29,972.75,971.33,984.03,995.17,995.03,994.25
99.75,0.38,827.56,894.6,907.22,895.42,908.53,898.25,914.37,928.41,929.53,938.76
101.25,0.38,754.42,803.4,808.66,794.65,813.18,803.42,815.46,822.09,824.89,839.49
102.75,0.38,342.65,362.78,363.13,358.26,364.52,360.57,366.52,366.5,367.72,373.02
104.25,0.38,241.02,253.85,253.95,256.56,256.99,253.34,259.7,253.15,259.87,259.04
105.75,0.38,188.01,194.61,194.02,196,197.98,195.15,199.54,192.24,199.77,197.97
107.25,0.38,171.67,144.65,149.58,161.93,148.69,146.99,150.79,147.79,152.1,148.82
108.75,0.38,128.5,104.44,107.15,117.28,105.29,106.75,106.68,105.31,106.47,104.97
110.25,0.38,63.15,67.13,64.79,62.2,65.96,67.48,65.59,63.22,64.66,66.33
111.75,0.38,54.62,55.04,53.07,53.25,54.73,54.56,54.25,52.22,53.52,54.21
113.25,0.38,305.27,277.75,262.63,292.3,279.96,263.15,262.52,262.61,261.67,261.91
114.75,0.38,971.06,969.28,957.91,1039.2,972.95,931.19,943.17,947.34,941.31,914.78
116.25,0.38,407.28,415.94,420.93,428.75,419.66,414.1,420.22,426.49,424.02,416.63
117.75,0.38,279.93,291.45,292.73,288.51,290.52,296.05,298.1,291.93,298.01,300.41
119.25,0.38,202.21,205.44,203.63,204.62,204.68,208.01,209.36,201.6,208.04,212.55
120.75,0.38,77.12,77.84,76.49,77.47,77.73,78.56,78.79,76.02,78.24,79.63
122.25,0.38,199.81,202.47,200.7,198.73,202.96,205.33,204.76,197.95,202.78,206.42
123.75,0.38,83.5,83.59,83.49,82.46,83.87,83.65,83.5,82.83,83.35,83.14
125.25,0.38,56.16,52.85,53.25,53.96,53.05,52.73,53.16,53.34,53.16,52.27
126.75,0.38,122.34,121.99,123.18,121.34,122.78,124.21,124.27,122.06,123.51,122.8
